age,sex,province,health,n
20,Male,PE,Very good,1
20,Male,QC,Excellent,4
20,Male,QC,Fair,4
20,Male,QC,Very good,8
20,Male,SK,Excellent,2
20,Male,SK,Fair,3
21,Female,AB,Excellent,1
21,Female,AB,Fair,3
21,Female,AB,Very good,1
21,Female,BC,Fair,1
21,Female,BC,Very good,1
21,Female,MB,Excellent,2
21,Female,MB,Fair,2
21,Female,MB,Very good,3
21,Female,NB,Fair,2
21,Female,NB,Very good,3
21,Female,NL,Fair,2
21,Female,NL,Very good,1
21,Female,NS,Fair,1
21,Female,NS,Poor,1
21,Female,NS,Very good,1
21,Female,ON,Excellent,5
21,Female,ON,Fair,11
21,Female,ON,Poor,1
21,Female,ON,Very good,6
21,Female,PE,Fair,2
21,Female,PE,Very good,1
21,Female,QC,Excellent,6
21,Female,QC,Fair,4
21,Female,QC,Very good,6
21,Female,SK,Fair,1
21,Female,SK,Very good,1
21,Male,AB,Excellent,1
21,Male,AB,Fair,7
21,Male,BC,Excellent,3
21,Male,BC,Fair,4
21,Male,BC,Very good,2
21,Male,MB,Excellent,2
21,Male,MB,Fair,2
21,Male,MB,Very good,4
21,Male,NB,Excellent,2
21,Male,NB,Fair,2
21,Male,NS,Excellent,2
21,Male,NS,Fair,1
21,Male,NS,Very good,2
21,Male,ON,Excellent,11
21,Male,ON,Fair,8
21,Male,ON,Very good,9
21,Male,PE,Very good,1
21,Male,QC,Excellent,3
21,Male,QC,Fair,4
21,Male,QC,Very good,2
21,Male,QC,NA,1
21,Male,SK,Excellent,1
21,Male,SK,Fair,2
21,Male,SK,Very good,1
22,Female,AB,Excellent,1
22,Female,AB,Fair,2
22,Female,AB,Poor,1
22,Female,AB,Very good,6
22,Female,BC,Excellent,3
22,Female,BC,Fair,4
22,Female,BC,Very good,4
22,Female,MB,Excellent,1
22,Female,MB,Fair,1
22,Female,NB,Excellent,1
22,Female,NB,Fair,1
22,Female,NB,Very good,3
22,Female,NL,Excellent,1
22,Female,NL,Fair,2
22,Female,NL,Very good,3
22,Female,NS,Excellent,1
22,Female,NS,Fair,1
22,Female,NS,Very good,5
22,Female,ON,Excellent,4
22,Female,ON,Fair,12
22,Female,ON,Poor,1
22,Female,ON,Very good,12
22,Female,PE,Fair,1
22,Female,PE,Very good,2
22,Female,QC,Excellent,3
22,Female,QC,Fair,7
22,Female,QC,Very good,3
22,Female,SK,Excellent,1
22,Female,SK,Fair,4
22,Female,SK,Very good,3
22,Male,AB,Excellent,2
22,Male,AB,Fair,4
22,Male,AB,Very good,2
22,Male,BC,Excellent,9
22,Male,BC,Fair,4
22,Male,BC,Poor,1
22,Male,BC,Very good,3
22,Male,MB,Excellent,1
22,Male,MB,Fair,3
22,Male,MB,Very good,3
22,Male,NB,Fair,1
22,Male,NB,Very good,1
22,Male,NL,Excellent,2
22,Male,NL,Fair,2
22,Male,NL,Very good,1
22,Male,NS,Excellent,1
22,Male,NS,Fair,3
22,Male,NS,Very good,3
22,Male,ON,Excellent,9
22,Male,ON,Fair,7
22,Male,ON,Very good,12
22,Male,PE,Fair,3
22,Male,QC,Excellent,5
22,Male,QC,Fair,7
22,Male,QC,Very good,5
22,Male,SK,Excellent,1
22,Male,SK,Other,1
23,Female,AB,Excellent,1
23,Female,AB,Fair,3
23,Female,AB,Very good,4
23,Female,BC,Excellent,1
23,Female,BC,Fair,4
23,Female,BC,Very good,6
23,Female,MB,Excellent,1
23,Female,MB,Fair,3
23,Female,MB,Very good,2
23,Female,NB,Excellent,2
23,Female,NB,Fair,2
23,Female,NB,Very good,2
23,Female,NL,Excellent,1
23,Female,NL,Fair,1
23,Female,NL,Very good,3
23,Female,NS,Fair,1
23,Female,NS,Very good,3
23,Female,ON,Excellent,8
23,Female,ON,Fair,9
23,Female,ON,Poor,1
23,Female,ON,Very good,8
23,Female,PE,Fair,4
23,Female,PE,Very good,1
23,Female,QC,Excellent,7
23,Female,QC,Fair,4
23,Female,QC,Very good,3
23,Female,SK,Excellent,1
23,Female,SK,Fair,2
23,Female,SK,Very good,2
23,Male,AB,Excellent,2
23,Male,AB,Fair,2
23,Male,AB,Very good,2
23,Male,BC,Excellent,3
23,Male,BC,Fair,2
23,Male,BC,Very good,2
23,Male,MB,Excellent,2
23,Male,MB,Fair,1
23,Male,MB,Poor,1
23,Male,MB,Very good,2
23,Male,NB,Excellent,3
23,Male,NB,Fair,2
23,Male,NB,Very good,1
23,Male,NL,Excellent,2
23,Male,NS,Excellent,1
23,Male,NS,Fair,1
23,Male,NS,Very good,3
23,Male,ON,Excellent,3
23,Male,ON,Fair,8
23,Male,ON,Very good,8
23,Male,PE,Fair,5
23,Male,PE,Very good,2
23,Male,QC,Excellent,4
23,Male,QC,Fair,5
23,Male,QC,Very good,5
23,Male,SK,Excellent,2
23,Male,SK,Fair,3
23,Male,SK,Very good,1
24,Female,AB,Excellent,2
24,Female,AB,Fair,6
24,Female,AB,Poor,1
24,Female,AB,Very good,4
24,Female,BC,Excellent,4
24,Female,BC,Fair,6
24,Female,BC,Poor,1
24,Female,BC,Very good,7
24,Female,MB,Excellent,1
24,Female,MB,Fair,4
24,Female,MB,Very good,3
24,Female,NB,Excellent,1
24,Female,NB,Fair,4
24,Female,NB,Very good,2
24,Female,NL,Excellent,1
24,Female,NL,Fair,1
24,Female,NL,Very good,2
24,Female,NS,Excellent,2
24,Female,NS,Fair,3
24,Female,NS,Poor,1
24,Female,NS,Very good,4
24,Female,ON,Excellent,7
24,Female,ON,Fair,8
24,Female,ON,Very good,14
24,Female,ON,NA,1
24,Female,PE,Fair,1
24,Female,PE,Very good,2
24,Female,QC,Excellent,2
24,Female,QC,Fair,6
24,Female,QC,Very good,6
24,Female,SK,Excellent,1
24,Female,SK,Fair,2
24,Female,SK,Very good,2
24,Male,AB,Excellent,6
24,Male,AB,Fair,2
24,Male,AB,Very good,1
24,Male,BC,Fair,3
24,Male,BC,Very good,8
24,Male,MB,Excellent,2
24,Male,MB,Fair,1
24,Male,MB,Very good,2
24,Male,NB,Excellent,1
24,Male,NB,Fair,2
24,Male,NB,Very good,3
24,Male,NL,Excellent,1
24,Male,NL,Fair,2
24,Male,NL,Very good,4
24,Male,NS,Excellent,1
24,Male,NS,Fair,1
24,Male,NS,Very good,1
24,Male,ON,Excellent,3
24,Male,ON,Fair,6
24,Male,ON,Very good,7
24,Male,PE,Excellent,1
24,Male,PE,Fair,1
24,Male,QC,Excellent,5
24,Male,QC,Fair,3
